userid,eventname,component,action,target,year,month,day,hour,minute,second
78,\giant\event\extended_challenge_team_viewed,giant,viewed,extended_challenge_team,2020,08,12,19,16,16
141,\core\event\user_login_failed,core,failed,user_login,2020,08,12,20,19,45
141,\core\event\user_loggedin,core,loggedin,user,2020,08,12,20,20,23
141,\core\event\dashboard_viewed,core,viewed,dashboard,2020,08,12,20,20,23
141,\core\event\course_viewed,core,viewed,course,2020,08,12,20,20,27
141,\core\event\course_viewed,core,viewed,course,2020,08,12,20,20,30
141,\core\event\dashboard_viewed,core,viewed,dashboard,2020,08,12,20,22,53
141,\core\event\dashboard_viewed,core,viewed,dashboard,2020,08,12,20,24,24
48,\core\event\user_loggedin,core,loggedin,user,2020,08,12,20,39,07
48,\core\event\dashboard_viewed,core,viewed,dashboard,2020,08,12,20,39,07
139,\core\event\user_loggedin,core,loggedin,user,2020,08,12,20,39,19
139,\core\event\dashboard_viewed,core,viewed,dashboard,2020,08,12,20,39,20
48,\core\event\user_profile_viewed,core,viewed,user_profile,2020,08,12,20,39,21
139,\core\event\course_viewed,core,viewed,course,2020,08,12,20,39,41
139,\core\event\course_viewed,core,viewed,course,2020,08,12,20,39,52
139,\mod_scorm\event\course_module_viewed,mod_scorm,viewed,course_module,2020,08,12,20,39,57
139,\mod_scorm\event\course_module_viewed,mod_scorm,viewed,course_module,2020,08,12,20,39,57
139,\mod_scorm\event\sco_launched,mod_scorm,launched,sco,2020,08,12,20,39,59
63,\core\event\user_loggedin,core,loggedin,user,2020,08,12,20,40,12
63,\core\event\dashboard_viewed,core,viewed,dashboard,2020,08,12,20,40,12
63,\core\event\course_viewed,core,viewed,course,2020,08,12,20,40,21
141,\core\event\dashboard_viewed,core,viewed,dashboard,2020,08,12,20,40,26
141,\core\event\course_viewed,core,viewed,course,2020,08,12,20,40,31
141,\core\event\course_viewed,core,viewed,course,2020,08,12,20,40,32
141,\core\event\course_viewed,core,viewed,course,2020,08,12,20,40,38
63,\core\event\course_viewed,core,viewed,course,2020,08,12,20,40,44
63,\mod_scorm\event\course_module_viewed,mod_scorm,viewed,course_module,2020,08,12,20,40,47
63,\mod_scorm\event\course_module_viewed,mod_scorm,viewed,course_module,2020,08,12,20,40,47
63,\mod_scorm\event\sco_launched,mod_scorm,launched,sco,2020,08,12,20,40,48
48,\core\event\dashboard_viewed,core,viewed,dashboard,2020,08,12,20,42,48
48,\core\event\course_viewed,core,viewed,course,2020,08,12,20,43,07
48,\core\event\course_viewed,core,viewed,course,2020,08,12,20,43,29
48,\mod_scorm\event\course_module_viewed,mod_scorm,viewed,course_module,2020,08,12,20,43,32
48,\mod_scorm\event\sco_launched,mod_scorm,launched,sco,2020,08,12,20,43,33
141,\core\event\course_viewed,core,viewed,course,2020,08,12,20,43,40
141,\mod_scorm\event\course_module_viewed,mod_scorm,viewed,course_module,2020,08,12,20,43,41
141,\mod_scorm\event\course_module_viewed,mod_scorm,viewed,course_module,2020,08,12,20,43,41
141,\mod_scorm\event\sco_launched,mod_scorm,launched,sco,2020,08,12,20,43,43
48,\giant\event\collaborative_wall_viewed,giant,viewed,collaborative_wall,2020,08,12,20,43,58
48,\core\event\course_viewed,core,viewed,course,2020,08,12,20,44,07
48,\core\event\course_viewed,core,viewed,course,2020,08,12,20,44,08
48,\core\event\course_viewed,core,viewed,course,2020,08,12,20,44,18
48,\core\event\course_viewed,core,viewed,course,2020,08,12,20,44,19
48,\core\event\course_viewed,core,viewed,course,2020,08,12,20,44,24
48,\mod_lesson\event\lesson_started,mod_lesson,started,lesson,2020,08,12,20,44,28
48,\mod_lesson\event\course_module_viewed,mod_lesson,viewed,course_module,2020,08,12,20,44,28
48,\mod_lesson\event\content_page_viewed,mod_lesson,viewed,content_page,2020,08,12,20,44,28
48,\mod_lesson\event\course_module_viewed,mod_lesson,viewed,course_module,2020,08,12,20,45,54
48,\mod_lesson\event\content_page_viewed,mod_lesson,viewed,content_page,2020,08,12,20,45,54
48,\core_h5p\event\h5p_viewed,core_h5p,viewed,h5p,2020,08,12,20,45,55
48,\mod_lesson\event\course_module_viewed,mod_lesson,viewed,course_module,2020,08,12,20,56,43
48,\mod_lesson\event\content_page_viewed,mod_lesson,viewed,content_page,2020,08,12,20,56,43
48,\core_h5p\event\h5p_viewed,core_h5p,viewed,h5p,2020,08,12,20,56,44
57,\core\event\user_loggedin,core,loggedin,user,2020,08,12,20,57,30
57,\mod_scorm\event\sco_launched,mod_scorm,launched,sco,2020,08,12,20,57,35
99,\core\event\user_loggedin,core,loggedin,user,2020,08,12,20,57,41
99,\core\event\dashboard_viewed,core,viewed,dashboard,2020,08,12,20,57,41
99,\core\event\course_viewed,core,viewed,course,2020,08,12,20,57,45
99,\core\event\course_viewed,core,viewed,course,2020,08,12,20,57,47
99,\mod_scorm\event\course_module_viewed,mod_scorm,viewed,course_module,2020,08,12,20,57,55
99,\mod_scorm\event\sco_launched,mod_scorm,launched,sco,2020,08,12,20,57,55
57,\giant\event\collaborative_wall_viewed,giant,viewed,collaborative_wall,2020,08,12,20,57,59
99,\giant\event\collaborative_wall_viewed,giant,viewed,collaborative_wall,2020,08,12,20,58,04
141,\core\event\course_viewed,core,viewed,course,2020,08,12,21,00,20
141,\core\event\course_viewed,core,viewed,course,2020,08,12,21,00,22
