kmeans_4,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107
4,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,10.247406783884044,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644,-0.09667364890456644
4,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,10.247406783884003,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606,-0.09667364890456606
4,-0.15799140467352735,8.007047379712782,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,2.832022798059487,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,5.592035908274577,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735,-0.15799140467352735
1,-0.3893397594520351,-0.29877594584036604,1.3313726991696768,2.7502057790858254,7.701027589857067,-0.057272442875915264,0.033291370735753785,-0.17802419435814065,-0.3893397594520351,-0.3893397594520351,1.844567642969135,1.844567642969135,0.8785536311113317,0.09366724647686649,-0.23840007009925338,-0.027084505005358916,-0.057272442875915264,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,2.720017841215269,-0.20821213222869703,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,0.09366724647686649,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.08746038074647161,-0.35915182158147874,1.421936512781346,2.7502057790858254,0.5464863145352118,0.818177755370219,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,0.6068621902763245,-0.1478362564875843,-0.2685880079698097,-0.2685880079698097,-0.3893397594520351,-0.23840007009925338,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,0.4861104387940991,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.20821213222869703,-0.3893397594520351,-0.3893397594520351,0.39554662518243,0.6672380660174372,0.3049828115707609,-0.29877594584036604,-0.3289638837109224,-0.3893397594520351,0.24460693582964824,-0.3893397594520351,0.033291370735753785,0.0031034328651974325,-0.23840007009925338,-0.2685880079698097,-0.3893397594520351,-0.057272442875915264,-0.3289638837109224,0.5162983766646554,-0.3893397594520351,-0.3893397594520351,-0.3289638837109224,-0.23840007009925338,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.35915182158147874,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.35915182158147874,-0.08746038074647161,-0.29877594584036604,-0.35915182158147874,-0.35915182158147874,-0.1478362564875843,-0.35915182158147874,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351,-0.3893397594520351
3,-0.21997170373608613,-0.1452511567527172,1.3491597829146618,2.096365252748351,9.344258310135139,0.07891048419738965,1.7974830648148756,0.45251321911423437,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,0.3030721251474965,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.1452511567527172,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.07053060976934825,-0.07053060976934825,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,0.8261159540310791,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.07053060976934825,-0.1452511567527172,-0.07053060976934825,-0.21997170373608613,-0.21997170373608613,0.004189937214020706,-0.1452511567527172,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.1452511567527172,-0.21997170373608613,-0.1452511567527172,-0.21997170373608613,0.07891048419738965,0.07891048419738965,-0.21997170373608613,1.9469241587816135,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.1452511567527172,-0.1452511567527172,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.21997170373608613,-0.07053060976934825,0.6019543130809722,0.1536310311807586,-0.21997170373608613,-0.21997170373608613
3,-0.21670534111673675,-0.18167894912354818,1.0267315746414574,1.2894295145903718,8.049523169275766,-0.09411296914057675,3.9689485020692974,2.4978400383553776,0.3612301267708746,-0.1466525571303596,2.095036530433709,2.095036530433709,1.2894295145903718,0.0810189908253661,-0.2692449291065196,-0.18167894912354818,-0.23421853711333102,-0.05908657714738818,-0.1641657531269539,-0.23421853711333102,-0.21670534111673675,-0.11162616513717104,0.25615095079130895,-0.23421853711333102,-0.0415733811507939,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.1641657531269539,-0.2517317331099253,-0.18167894912354818,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.1466525571303596,-0.1641657531269539,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2517317331099253,-0.2692449291065196,-0.19919214512014247,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,0.06350579482877182,-0.09411296914057675,-0.23421853711333102,-0.21670534111673675,-0.2692449291065196,-0.2692449291065196,-0.18167894912354818,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.21670534111673675,-0.21670534111673675,-0.21670534111673675,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.2692449291065196,-0.18167894912354818,-0.2692449291065196
4,-0.0966736489045666,10.247406783884061,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666
1,-0.22332932854431337,-0.22332932854431337,0.38493855174547115,0.38493855174547115,7.597257703752915,-0.22332932854431337,0.8194156090953172,0.6456247861553788,-0.22332932854431337,-0.22332932854431337,4.295232067894085,4.295232067894085,2.296637604084794,-0.13643391707434416,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.13643391707434416,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,0.21114772880553268,0.12425231733556348,-0.22332932854431337,0.037356905865594266,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.13643391707434416,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.13643391707434416,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337,-0.22332932854431337
4,-0.0966736489045666,10.247406783884061,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666,-0.0966736489045666
2,5.8701385096317145,-0.22796654406336753,2.821085982784173,2.821085982784173,5.8701385096317145,-0.22796654406336753,2.821085982784173,2.821085982784173,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753,-0.22796654406336753
