kmeans_4,x1,x2
1,-4.2836185,-0.72391814
1,-4.033261,-1.2575793
1,-8.019107,-1.0117471
1,-3.892806,-1.0176836
4,-3.122512,-4.042848
3,-0.76607233,-2.030481
1,-8.062405,-1.3720001
3,-0.5279031,2.1849227
1,-8.062288,-1.3722355
2,0.5292195,-7.255024
3,1.2767512,4.518172
2,-0.68348837,-6.053949
3,-1.3921208,1.3241063
3,1.3109506,1.0442779
4,-3.9427764,-5.4453864
3,1.4108044,2.3366234
4,-2.465661,-6.697417
4,-1.7103838,-5.1723847
1,-4.204692,-3.3099344
3,-0.009270931,-0.69031817
3,1.8362283,3.1615007
3,1.3865645,-0.68965
1,-7.620954,-4.6792808
4,-2.4701045,-5.5196757
3,0.27045128,3.1812792
3,-1.107352,0.4774739
3,-0.6128663,-0.07289106
3,-1.8659347,-0.8587413
2,-0.5064756,-7.5833583
2,0.99446213,-7.188107
2,-0.8990122,-6.803819
4,-4.24927,-8.866679
1,-6.573417,-4.1358714
4,-2.5465524,-7.1912923
3,0.9069184,0.39086196
3,1.7917112,1.8826232
4,-3.0504658,-6.6322975
3,0.7543031,3.17314
4,-3.6123786,-7.913241
3,1.3742065,1.4573574
3,0.29495558,3.5781128
3,0.88750386,1.8775185
4,-2.4782906,-4.6544857
4,-2.6614277,-6.656388
3,1.8315722,-1.4588692
1,-4.1752768,-3.313754
2,-1.4533347,-7.0134983
3,0.01585152,1.2355162
2,0.6907344,-7.1751714
2,-0.13889776,-7.493246
4,-3.0158122,-7.0262613
3,0.5516089,1.7592605
3,-0.27900952,-0.2769687
3,1.0014089,3.3384132
3,-0.30436632,1.0237995
4,-2.1224124,-7.3666
3,0.52335835,0.06270785
3,0.6171144,3.034845
4,-4.6007233,-7.708337
3,-1.9319042,-0.70013654
3,-0.67857707,-0.6535609
4,-4.3363028,-8.959574
3,1.8023804,3.4818854
3,-0.9673011,-0.06211576
2,-1.6871896,-8.328841
4,-2.9214284,-6.1835957
3,0.8924743,2.5447278
3,-0.5561565,3.048147
3,0.243917,0.7263147
3,1.2148557,2.794321
1,-8.074369,-1.5979651
3,-0.014502,-0.15281677
1,-6.34303,-4.11297
3,-1.0238259,-0.7444965
4,-3.8303483,-7.670937
2,-1.2680012,-7.9626036
4,-4.4233327,-5.0311446
4,-3.5397766,-5.9071484
3,2.3634934,2.662037
1,-8.061988,-1.3716699
3,-0.26767465,3.059416
3,-0.33608994,0.5153159
1,-6.818372,-3.2244399
3,-1.0174503,0.18078573
3,-1.547987,-1.6658466
3,1.2933985,4.248883
3,-0.6219054,-1.3533907
3,0.032599073,2.3962302
4,-2.3814902,-7.7659416
1,-7.1970425,-2.9103887
1,-7.260564,-4.308848
4,-2.733735,-5.6294003
4,-1.8946198,-5.7926936
4,-2.1803737,-6.8085723
4,-2.6079972,-5.0979776
4,-2.0990953,-5.448281
1,-7.8187556,-1.9292561
4,-2.345562,-5.979698
1,-8.063074,-1.3722144
4,-3.1504726,-4.6097493
1,-7.2127204,-4.3280745
4,-2.135766,-6.0810113
